,Test_ACC,Test_MAE,Train_ACC,Train_MAE,Validation_ACC,Validation_MAE,cop_level,hidden_l_sizes,learning_rate,lr_pretrain,size
24,0.9486166007905138,0.21223577934352983,0.9801488833746899,0.17881090333663774,0.9356435643564357,0.17454171159690227,,8,0.053741696887871546,,1
25,0.9407114624505929,0.20054992266712493,0.9863523573200993,0.1678386050034173,0.9455445544554455,0.15826879717674738,,37,0.09889129855555878,,1
26,0.9525691699604744,0.21515724351263105,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.17454171159690227,,29,0.04903047310573246,,1
27,0.9407114624505929,0.20639285100532737,0.9863523573200993,0.1678386050034173,0.9455445544554455,0.16640525438682482,,37,0.025656364882515107,,1
28,0.9407114624505929,0.20054992266712493,0.9838709677419355,0.1678386050034173,0.9504950495049505,0.1623370257817861,,11,0.038542714862099564,,1
29,0.9525691699604744,0.21515724351263105,0.9913151364764268,0.17182853167004292,0.9405940594059405,0.17047348299186355,,38,0.04210396536546988,,1
30,0.9525691699604744,0.20931431517442858,0.9913151364764268,0.17182853167004292,0.9504950495049505,0.1623370257817861,,27,0.07802318207893164,,1
1,0.9446640316205533,0.22100017185083348,0.9900744416873449,0.1728260133366993,0.9405940594059405,0.17047348299186355,,17_20,0.015388440929027018,,2
2,0.924901185770751,0.1947069943289225,0.9826302729528535,0.16285119667013528,0.9405940594059405,0.13792765415155378,,24_35,0.03422954517019111,,2
3,0.9565217391304348,0.21807870768173226,0.9937965260545906,0.17382349500335573,0.9405940594059405,0.17047348299186355,,31_5,0.08767913398123194,,2
4,0.9486166007905138,0.21223577934352983,0.9900744416873449,0.17083105000338653,0.9554455445544554,0.15826879717674738,,24_5,0.05659061105804798,,2
5,0.932806324110672,0.2239216360199347,0.9801488833746899,0.17881090333663774,0.9455445544554455,0.17454171159690227,,29_35,0.09809275466046034,,2
6,0.9446640316205533,0.21515724351263105,0.9900744416873449,0.1728260133366993,0.9356435643564357,0.16640525438682482,,7_13,0.03667287827898573,,2
7,0.9486166007905138,0.21807870768173226,0.9913151364764268,0.17182853167004292,0.9455445544554455,0.16640525438682482,,19_28,0.09982895841058743,,2
8,0.9446640316205533,0.20931431517442858,0.9900744416873449,0.17083105000338653,0.9504950495049505,0.1623370257817861,,28_34,0.06573149719833901,,2
9,0.9525691699604744,0.21515724351263105,0.9913151364764268,0.17182853167004292,0.9356435643564357,0.16640525438682482,,35_32,0.08000568722034497,,2
10,0.9446640316205533,0.22100017185083348,0.9913151364764268,0.17182853167004292,0.9455445544554455,0.16640525438682482,,31_5,0.09922885372552899,,2
11,0.9446640316205533,0.21515724351263105,0.9851116625310173,0.16883608667007372,0.9504950495049505,0.15420056857170866,,13_18,0.09407981908151916,,2
12,0.9407114624505929,0.2239216360199347,0.988833746898263,0.17382349500335573,0.9356435643564357,0.1826781688069797,,8_34,0.07133324728335143,,2
