,Test_ACC,Test_MAE,Train_ACC,Train_MAE,Validation_ACC,Validation_MAE,hidden_l_sizes,learning_rate,size
1,0.9129287598944591,0.19580064187801532,0.9773049645390071,0.15576278859212314,0.9265536723163842,0.12151680551565643,33,0.004479873105448274,1
2,0.9023746701846965,0.21927583350157684,0.9829787234042553,0.16275237664101402,0.9322033898305084,0.1361677678827923,58,0.005584933029627811,1
3,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,47,0.002739572713312891,1
4,0.9129287598944591,0.20362570575253583,0.9829787234042553,0.1604225139580504,0.9209039548022598,0.12640045963803503,58,0.009544625747338283,1
5,0.8944591029023746,0.22514463140746724,0.9829787234042553,0.16508223932397767,0.9152542372881356,0.14105142200517093,63,0.009430804326058466,1
6,0.9129287598944591,0.1997131738152756,0.9787234042553191,0.15692771993360494,0.9209039548022598,0.12640045963803503,49,0.005779199780885299,1
7,0.9102902374670184,0.21340703559568647,0.9843971631205674,0.16158744529953223,0.9265536723163842,0.13128411376041368,54,0.008346206613801081,1
8,0.8970976253298153,0.2310134293133576,0.9801418439716312,0.1674121020069413,0.9265536723163842,0.15081873024992817,66,0.00715506324714376,1
9,0.9076517150395779,0.21145076962705633,0.9829787234042553,0.1604225139580504,0.9265536723163842,0.14105142200517093,42,0.005540360610679147,1
10,0.899736147757256,0.22905716334472748,0.9801418439716312,0.1674121020069413,0.9322033898305084,0.14593507612754955,45,0.008651249539836151,1
11,0.9102902374670184,0.20558197172116596,0.9829787234042553,0.1604225139580504,0.9209039548022598,0.12640045963803503,56,0.00510236889917329,1
12,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,33,0.005507533947247051,1
13,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,55,0.0038488467600964003,1
14,0.9023746701846965,0.21927583350157684,0.9829787234042553,0.16275237664101402,0.9209039548022598,0.1361677678827923,79,0.0059646229900394455,1
15,0.9076517150395779,0.2075382376897961,0.9730496453900709,0.15925758261656858,0.9491525423728814,0.12151680551565643,75,0.0023081155423151415,1
16,0.8970976253298153,0.2310134293133576,0.9801418439716312,0.1674121020069413,0.9265536723163842,0.15081873024992817,64,0.005149299103034331,1
17,0.9129287598944591,0.19580064187801532,0.975886524822695,0.15226799456767767,0.9378531073446328,0.11174949727089917,63,0.005710450818409362,1
18,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,37,0.004228466844089256,1
19,0.8918205804749341,0.2310134293133576,0.9787234042553191,0.1685770333484231,0.9209039548022598,0.14593507612754955,78,0.007459949674841021,1
20,0.9155672823218998,0.1860193120348647,0.9617021276595744,0.14294854383582314,0.943502824858757,0.10686584314852055,37,0.005069342077107101,1
21,0.9155672823218998,0.2016694397839057,0.9829787234042553,0.1604225139580504,0.9209039548022598,0.12640045963803503,46,0.007131842238368746,1
22,0.9155672823218998,0.19775690784664546,0.9773049645390071,0.15576278859212314,0.9378531073446328,0.12151680551565643,38,0.006264286131605969,1
23,0.9102902374670184,0.21340703559568647,0.9843971631205674,0.16158744529953223,0.9209039548022598,0.12640045963803503,75,0.008390547934812805,1
24,0.9023746701846965,0.2231883654388371,0.9787234042553191,0.1662471706654595,0.9265536723163842,0.14105142200517093,72,0.004347629136399788,1
25,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,40,0.0033738550055181864,1
26,0.9129287598944591,0.1997131738152756,0.9801418439716312,0.15809265127508676,0.9209039548022598,0.12640045963803503,43,0.007228378070196197,1
27,0.899736147757256,0.21731956753294673,0.9829787234042553,0.1604225139580504,0.9322033898305084,0.1361677678827923,73,0.005390849618260555,1
28,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,51,0.0028445145069604834,1
29,0.9102902374670184,0.20558197172116596,0.9829787234042553,0.1604225139580504,0.9209039548022598,0.12640045963803503,32,0.008811078604174636,1
30,0.9155672823218998,0.2016694397839057,0.9815602836879432,0.15925758261656858,0.9209039548022598,0.12640045963803503,39,0.009677334209954334,1
1,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,71_19,0.07094786238184289,2
2,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,31_19,0.03237680466538135,2
3,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,57_12,0.06050147762327644,2
4,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,74_29,0.08207259698625553,2
5,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,78_27,0.027211682406895848,2
6,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,35_14,0.030485354144816575,2
7,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,36_10,0.06696960977459576,2
8,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,38_14,0.06453371808135064,2
9,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,39_26,0.06562232763879643,2
10,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,67_16,0.05072057932310959,2
11,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,62_18,0.05304326797705538,2
12,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,46_28,0.08264928969218849,2
13,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,40_16,0.02369231736433334,2
14,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,35_28,0.026831683799282535,2
15,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,54_28,0.06321413327630329,2
16,0.8918205804749341,0.23492596125061785,0.975886524822695,0.17090689603138676,0.9265536723163842,0.15081873024992817,45_11,0.022105985218606284,2
17,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,73_12,0.043221499449596676,2
18,0.9023746701846965,0.21927583350157684,0.9843971631205674,0.16391730798249585,0.9265536723163842,0.13128411376041368,60_28,0.00916593253998095,2
19,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,65_18,0.09162419135212489,2
20,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,43_29,0.0012782962473265407,2
21,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,58_12,0.05369753598915416,2
22,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,52_19,0.0389108142967295,2
23,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,54_12,0.04310513883608601,2
24,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,49_11,0.07953823562741237,2
25,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,30_13,0.020471808209413,2
26,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,60_19,0.05063581414365193,2
27,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,66_28,0.07446623901063455,2
28,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,55_25,0.08485031470016005,2
29,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,44_20,0.0398577784515302,2
30,0.8707124010554089,0.12928759894459102,0.9106382978723404,0.08936170212765958,0.9322033898305084,0.06779661016949153,42_10,0.09173279971485672,2
